WKT,Coordinates,Route Name,Route Number
"POINT (120.98276759522285 14.621077919235177)",14.621077919235177, 120.98276759522285,Frisco-Vito Cruz LRT (via Mabini & Sta Cruz),18.0
"POINT (120.98269312486003 14.618395728386991)",14.618395728386991, 120.98269312486003,Frisco-Vito Cruz LRT (via Mabini & Sta Cruz),18.0
"POINT (120.98263956747374 14.616094721309377)",14.616094721309377, 120.98263956747374,Frisco-Vito Cruz LRT (via Mabini & Sta Cruz),18.0
"POINT (120.98259047891476 14.61410472657679)",14.61410472657679, 120.98259047891476,Frisco-Vito Cruz LRT (via Mabini & Sta Cruz),18.0
"POINT (120.98240011642258 14.611300081881632)",14.611300081881632, 120.98240011642258,Frisco-Vito Cruz LRT (via Mabini & Sta Cruz),18.0
"POINT (120.98231050766731 14.609991850123766)",14.609991850123766, 120.98231050766731,Frisco-Vito Cruz LRT (via Mabini & Sta Cruz),18.0
"POINT (120.98195606564042 14.605348934889033)",14.605348934889033, 120.98195606564042,Frisco-Vito Cruz LRT (via Mabini & Sta Cruz),18.0
"POINT (120.98191767390296 14.604094622320318)",14.604094622320318, 120.98191767390296,Frisco-Vito Cruz LRT (via Mabini & Sta Cruz),18.0
"POINT (120.98167865416092 14.601495301204318)",14.601495301204318, 120.98167865416092,Frisco-Vito Cruz LRT (via Mabini & Sta Cruz),18.0
"POINT (120.98131457065709 14.600541168589597)",14.600541168589597, 120.98131457065709,Frisco-Vito Cruz LRT (via Mabini & Sta Cruz),18.0
"POINT (120.98057144262741 14.600245305274202)",14.600245305274202, 120.98057144262741,Frisco-Vito Cruz LRT (via Mabini & Sta Cruz),18.0
"POINT (120.97999994512672 14.599304237803436)",14.599304237803436, 120.97999994512672,Frisco-Vito Cruz LRT (via Mabini & Sta Cruz),18.0
"POINT (120.97891941748962 14.593810215661668)",14.593810215661668, 120.97891941748962,Frisco-Vito Cruz LRT (via Mabini & Sta Cruz),18.0
"POINT (120.98072265237596 14.589566167359779)",14.589566167359779, 120.98072265237596,Frisco-Vito Cruz LRT (via Mabini & Sta Cruz),18.0
"POINT (120.97942440200234 14.585356809176995)",14.585356809176995, 120.97942440200234,Frisco-Vito Cruz LRT (via Mabini & Sta Cruz),18.0
"POINT (120.97918137057505 14.584731674421356)",14.584731674421356, 120.97918137057505,Frisco-Vito Cruz LRT (via Mabini & Sta Cruz),18.0
"POINT (120.98029564899994 14.583436034100579)",14.583436034100579, 120.98029564899994,Frisco-Vito Cruz LRT (via Mabini & Sta Cruz),18.0
"POINT (120.97880441300703 14.580415065215337)",14.580415065215337, 120.97880441300703,Frisco-Vito Cruz LRT (via Mabini & Sta Cruz),18.0
"POINT (120.9793214852537 14.579352558216636)",14.579352558216636, 120.9793214852537,Frisco-Vito Cruz LRT (via Mabini & Sta Cruz),18.0
"POINT (120.98035899268936 14.577183147786867)",14.577183147786867, 120.98035899268936,Frisco-Vito Cruz LRT (via Mabini & Sta Cruz),18.0
"POINT (120.98133043733772 14.575202986393725)",14.575202986393725, 120.98133043733772,Frisco-Vito Cruz LRT (via Mabini & Sta Cruz),18.0
"POINT (120.9820626692446 14.573697482470791)",14.573697482470791, 120.9820626692446,Frisco-Vito Cruz LRT (via Mabini & Sta Cruz),18.0
"POINT (120.98346216759352 14.570784232935843)",14.570784232935843, 120.98346216759352,Frisco-Vito Cruz LRT (via Mabini & Sta Cruz),18.0
"POINT (120.98402155353742 14.569627073107426)",14.569627073107426, 120.98402155353742,Frisco-Vito Cruz LRT (via Mabini & Sta Cruz),18.0
"POINT (120.98473107555797 14.568254422716748)",14.568254422716748, 120.98473107555797,Frisco-Vito Cruz LRT (via Mabini & Sta Cruz),18.0
"POINT (120.98572274591339 14.56618949313726)",14.56618949313726, 120.98572274591339,Frisco-Vito Cruz LRT (via Mabini & Sta Cruz),18.0
"POINT (120.98618609645214 14.565201284184917)",14.565201284184917, 120.98618609645214,Frisco-Vito Cruz LRT (via Mabini & Sta Cruz),18.0
"POINT (120.98822922449146 14.562483902547546)",14.562483902547546, 120.98822922449146,Frisco-Vito Cruz LRT (via Mabini & Sta Cruz),18.0
"POINT (120.98892945158418 14.561081714647035)",14.561081714647035, 120.98892945158418,Frisco-Vito Cruz LRT (via Mabini & Sta Cruz),18.0
"POINT (121.00012986095187 14.59930310353591)",14.59930310353591, 121.00012986095187,Nagtahan Rotonda-Pandacan,19.0
"POINT (120.9999881408186 14.601023547552431)",14.601023547552431, 120.9999881408186,Nagtahan Rotonda-Pandacan,19.0
"POINT (121.00926609404715 14.602164488407023)",14.602164488407023, 121.00926609404715,Nagtahan Rotonda-Pandacan,19.0
"POINT (121.05018318778744 14.576668307803576)",14.576668307803576, 121.05018318778744,Guadalupe Market-L. Guinto via P. Gil,20.0
"POINT (121.04597851995013 14.568852846805141)",14.568852846805141, 121.04597851995013,Guadalupe Market-L. Guinto via P. Gil,20.0
"POINT (121.0259507099819 14.569402926979492)",14.569402926979492, 121.0259507099819,Guadalupe Market-L. Guinto via P. Gil,20.0
"POINT (121.02849294964513 14.568408948560855)",14.568408948560855, 121.02849294964513,Guadalupe Market-L. Guinto via P. Gil,20.0
"POINT (121.02849294964513 14.568408948560855)",14.568408948560855, 121.02849294964513,Guadalupe Market-L. Guinto via P. Gil,20.0
"POINT (121.02849294964513 14.568408948560855)",14.568408948560855, 121.02849294964513,Guadalupe Market-L. Guinto via P. Gil,20.0
"POINT (121.0353694197085 14.5653983197085)",14.5653983197085,121.0353694197085,Guadalupe Market-L. Guinto via P. Gil,20.0
"POINT (121.0312520197085 14.5662309197085)",14.5662309197085,121.0312520197085,Guadalupe Market-L. Guinto via P. Gil,20.0
"POINT (121.0283474197085 14.5666751197085)",14.5666751197085,121.0283474197085,Guadalupe Market-L. Guinto via P. Gil,20.0
"POINT (121.0253380197085 14.5676207197085)",14.5676207197085,121.0253380197085,Guadalupe Market-L. Guinto via P. Gil,20.0
"POINT (121.0219505197085 14.5687098197085)",14.5687098197085,121.0219505197085,Guadalupe Market-L. Guinto via P. Gil,20.0
"POINT (121.0196928197085 14.5693558197085)",14.5693558197085,121.0196928197085,Guadalupe Market-L. Guinto via P. Gil,20.0
"POINT (121.0167973197085 14.5699801197085)",14.5699801197085,121.0167973197085,Guadalupe Market-L. Guinto via P. Gil,20.0
"POINT (121.0150484697085 14.571598)",14.571598,121.0150484697085,Guadalupe Market-L. Guinto via P. Gil,20.0
"POINT (121.0150484697085 14.571598)",14.571598,121.0150484697085,Guadalupe Market-L. Guinto via P. Gil,20.0
"POINT (121.0143919197085 14.5704129197085)",14.5704129197085,121.0143919197085,Guadalupe Market-L. Guinto via P. Gil,20.0
"POINT (121.02852347742346 14.568426059728038)",14.568426059728038, 121.02852347742346,Guadalupe Market-L. Guinto via P. Gil,20.0
"POINT (121.0124612197085 14.5721597197085)",14.5721597197085,121.0124612197085,Guadalupe Market-L. Guinto via P. Gil,20.0
"POINT (121.01408244714169 14.571453225916432)",14.571453225916432, 121.01408244714169,Guadalupe Market-L. Guinto via P. Gil,20.0
"POINT (121.0088462697085 14.5751095197085)",14.5751095197085,121.0088462697085,Guadalupe Market-L. Guinto via P. Gil,20.0
"POINT (121.00606964576146 14.579901705612901)",14.579901705612901, 121.00606964576146,Guadalupe Market-L. Guinto via P. Gil,20.0
"POINT (120.9982159197085 14.5773727197085)",14.5773727197085,120.9982159197085,Guadalupe Market-L. Guinto via P. Gil,20.0
"POINT (120.9959852197085 14.5788269197085)",14.5788269197085,120.9959852197085,Guadalupe Market-L. Guinto via P. Gil,20.0
"POINT (120.99661173098528 14.578840209241404)",14.578840209241404, 120.99661173098528,Guadalupe Market-L. Guinto via P. Gil,20.0
"POINT (120.9919538197085 14.5769032197085)",14.5769032197085,120.9919538197085,Guadalupe Market-L. Guinto via P. Gil,20.0
"POINT (120.99741491837625 14.578783138962512)",14.578783138962512, 120.99741491837625,Guadalupe Market-L. Guinto via P. Gil,20.0
"POINT (121.04629183703624 14.565353429093156)",14.565353429093156, 121.04629183703624,Guadalupe Market-L. Guinto via P. Gil,20.0
"POINT (120.96682959594388 14.614932783248973)",14.614932783248973, 120.96682959594388,Bangkusay-Divisoria,21.0
"POINT (120.96674074434618 14.61281983240927)",14.61281983240927, 120.96674074434618,Bangkusay-Divisoria,21.0
"POINT (120.96648603037998 14.609928784652638)",14.609928784652638, 120.96648603037998,Bangkusay-Divisoria,21.0
"POINT (120.96719420591488 14.60811942016598)",14.60811942016598, 120.96719420591488,Bangkusay-Divisoria,21.0
"POINT (121.0120069 14.5813421)",14.5813421,121.0120069,San Andres Mkt-Sta. Ana via P. Faura/P Gil,22.0
"POINT (121.0132633 14.58194419999997)",14.58194419999997,121.0132633,San Andres Mkt-Sta. Ana via P. Faura/P Gil,22.0
"POINT (121.0165125197085 14.5834274197085)",14.5834274197085,121.0165125197085,San Andres Mkt-Sta. Ana via P. Faura/P Gil,22.0
"POINT (121.0177564197085 14.5844442197085)",14.5844442197085,121.0177564197085,San Andres Mkt-Sta. Ana via P. Faura/P Gil,22.0
"POINT (120.99741491837625 14.578783138962512)",14.578783138962512, 120.99741491837625,San Andres Mkt-Sta. Ana via P. Faura/P Gil,22.0
"POINT (121.00606964576146 14.579901705612901)",14.579901705612901, 121.00606964576146,San Andres Mkt-Sta. Ana via P. Faura/P Gil,22.0
"POINT (120.9982159197085 14.5773727197085)",14.5773727197085,120.9982159197085,San Andres Mkt-Sta. Ana via P. Faura/P Gil,22.0
"POINT (120.9983367197085 14.5792575697085)",14.5792575697085,120.9983367197085,San Andres Mkt-Sta. Ana via P. Faura/P Gil,22.0
"POINT (120.9959852197085 14.5788269197085)",14.5788269197085,120.9959852197085,San Andres Mkt-Sta. Ana via P. Faura/P Gil,22.0
"POINT (120.99661173098528 14.578840209241404)",14.578840209241404, 120.99661173098528,San Andres Mkt-Sta. Ana via P. Faura/P Gil,22.0
"POINT (120.9919538197085 14.5769032197085)",14.5769032197085,120.9919538197085,San Andres Mkt-Sta. Ana via P. Faura/P Gil,22.0
"POINT (120.9875425 14.5714506)",14.5714506,120.9875425,San Andres Mkt-Sta. Ana via P. Faura/P Gil,22.0
"POINT (120.9866609197085 14.5795232197085)",14.5795232197085,120.9866609197085,San Andres Mkt-Sta. Ana via P. Faura/P Gil,22.0
"POINT (120.9846982197085 14.5785440197085)",14.5785440197085,120.9846982197085,San Andres Mkt-Sta. Ana via P. Faura/P Gil,22.0
"POINT (120.9822412197085 14.5770639197085)",14.5770639197085,120.9822412197085,San Andres Mkt-Sta. Ana via P. Faura/P Gil,22.0
"POINT (120.9805408197085 14.5763492197085)",14.5763492197085,120.9805408197085,San Andres Mkt-Sta. Ana via P. Faura/P Gil,22.0
"POINT (120.9861416531221 14.564918761973287)",14.564918761973287, 120.9861416531221,San Andres Mkt-Sta. Ana via P. Faura/P Gil,22.0
"POINT (120.9846007197085 14.5765181697085)",14.5765181697085,120.9846007197085,San Andres Mkt-Sta. Ana via P. Faura/P Gil,22.0
"POINT (120.9817697197085 14.5890496197085)",14.5890496197085,120.9817697197085,San Miguel - Ikot,23.0
"POINT (120.9890661 14.59742)",14.59742,120.9890661,San Miguel - Ikot,23.0
"POINT (120.9868181197085 14.5953682197085)",14.5953682197085,120.9868181197085,San Miguel - Ikot,23.0
"POINT (120.9869151 14.5922364)",14.5922364,120.9869151,San Miguel - Ikot,23.0
"POINT (120.9850508197085 14.5898314697085)",14.5898314697085,120.9850508197085,San Miguel - Ikot,23.0
"POINT (120.9822547 14.5857505)",14.5857505,120.9822547,San Miguel - Ikot,23.0
"POINT (120.9871602197085 14.6013772197085)",14.6013772197085,120.9871602197085,San Miguel - Ikot,23.0
"POINT (120.98849299873382 14.602889426215592)",14.602889426215592, 120.98849299873382,San Miguel - Ikot,23.0
"POINT (120.98188729607794 14.591222389726374)",14.591222389726374, 120.98188729607794,San Miguel - Ikot,23.0
"POINT (120.98018144549087 14.593004532675396)",14.593004532675396, 120.98018144549087,Arroceros-Project 8 via Espana,24.0
"POINT (120.98438196876948 14.599511725695402)",14.599511725695402, 120.98438196876948,Arroceros-Project 8 via Espana,24.0
"POINT (120.98739247520119 14.605136826050176)",14.605136826050176, 120.98739247520119,Arroceros-Project 8 via Espana,24.0
"POINT (120.98969148711998 14.606771237358904)",14.606771237358904, 120.98969148711998,Arroceros-Project 8 via Espana,24.0
"POINT (120.99158883400462 14.608464441005065)",14.608464441005065, 120.99158883400462,Arroceros-Project 8 via Espana,24.0
"POINT (120.99268392671698 14.609531147394394)",14.609531147394394, 120.99268392671698,Arroceros-Project 8 via Espana,24.0
"POINT (120.9935419826888 14.610392096498225)",14.610392096498225, 120.9935419826888,Arroceros-Project 8 via Espana,24.0
"POINT (120.99537287166517 14.61205768651877)",14.61205768651877, 120.99537287166517,Arroceros-Project 8 via Espana,24.0
"POINT (120.99750738775212 14.613997187210181)",14.613997187210181, 120.99750738775212,Arroceros-Project 8 via Espana,24.0
"POINT (120.9995563169397 14.615837682995476)",14.615837682995476, 120.9995563169397,Arroceros-Project 8 via Espana,24.0
"POINT (121.00124069680852 14.617365381201216)",14.617365381201216, 121.00124069680852,Arroceros-Project 8 via Espana,24.0
"POINT (121.0127530197085 14.6026035197085)",14.6026035197085,121.0127530197085,Pina Ave-Santol via Buenos Aires,25.0
"POINT (121.0109848197085 14.6018026197085)",14.6018026197085,121.0109848197085,Pina Ave-Santol via Buenos Aires,25.0
"POINT (121.0089459197085 14.6009353197085)",14.6009353197085,121.0089459197085,Pina Ave-Santol via Buenos Aires,25.0
"POINT (120.9732917 14.6065238)",14.6065238,120.9732917,Blumentritt-Divisoria,26.0
"POINT (120.9732917 14.6065238)",14.6065238,120.9732917,Blumentritt-Divisoria,26.0
"POINT (120.9727813197085 14.6090888197085)",14.6090888197085,120.9727813197085,Blumentritt-Divisoria,26.0
"POINT (120.9732917 14.6056667)",14.6056667,120.9732917,Blumentritt-Divisoria,26.0
"POINT (120.9750810197085 14.6112383197085)",14.6112383197085,120.9750810197085,Blumentritt-Divisoria,26.0
"POINT (120.9738859197085 14.6128793197085)",14.6128793197085,120.9738859197085,Blumentritt-Divisoria,26.0
