WKT,Coordinates,Route Name,Route Number
"POINT (120.9890962 14.5780026)",14.5780026, 120.9890962,Pandacan-L. Guinto,167.0
"POINT (120.9876773 14.5790556)",14.5790556, 120.9876773,Pandacan-L. Guinto,167.0
"POINT (120.9890099 14.5798281)",14.5798281, 120.9890099,Pandacan-L. Guinto,167.0
"POINT (120.9920707 14.5808897)",14.5808897, 120.9920707,Pandacan-L. Guinto,167.0
"POINT (120.9950388 14.5813605)",14.5813605, 120.9950388,Pandacan-L. Guinto,167.0
"POINT (120.9971712 14.5824772)",14.5824772, 120.9971712,Pandacan-L. Guinto,167.0
"POINT (120.9989829 14.5842144)",14.5842144, 120.9989829,Pandacan-L. Guinto,167.0
"POINT (121.0021804 14.5863618)",14.5863618, 121.0021804,Pandacan-L. Guinto,167.0
"POINT (121.0030488 14.5896866)",14.5896866, 121.0030488,Pandacan-L. Guinto,167.0
"POINT (121.004028 14.5928201)",14.5928201, 121.004028,Pandacan-L. Guinto,167.0
"POINT (121.0056847 14.5909167)",14.5909167, 121.0056847,Pandacan-L. Guinto,167.0
"POINT (121.0084894 14.591127)",14.591127, 121.0084894,Pandacan-L. Guinto,167.0
"POINT (121.0105515 14.5906855)",14.5906855, 121.0105515,Pandacan-L. Guinto,167.0
"POINT (121.0130512 14.591107)",14.591107, 121.0130512,Pandacan-L. Guinto,167.0
"POINT (121.0110343 14.5857792)",14.5857792, 121.0110343,Punta-Quiapo via Sta. Mesa,168.0
"POINT (121.0126396 14.5865602)",14.5865602, 121.0126396,Punta-Quiapo via Sta. Mesa,168.0
"POINT (121.014093 14.5871893)",14.5871893, 121.014093,Punta-Quiapo via Sta. Mesa,168.0
"POINT (121.0170897 14.5875517)",14.5875517, 121.0170897,Punta-Quiapo via Sta. Mesa,168.0
"POINT (121.018438 14.5875493)",14.5875493, 121.018438,Punta-Quiapo via Sta. Mesa,168.0
"POINT (121.0209582 14.5875196)",14.5875196, 121.0209582,Punta-Quiapo via Sta. Mesa,168.0
"POINT (121.0226646 14.5892446)",14.5892446, 121.0226646,Punta-Quiapo via Sta. Mesa,168.0
"POINT (121.0234066 14.5898504)",14.5898504, 121.0234066,Punta-Quiapo via Sta. Mesa,168.0
"POINT (121.0240835 14.5904203)",14.5904203, 121.0240835,Punta-Quiapo via Sta. Mesa,168.0
"POINT (121.0261194 14.5921756)",14.5921756, 121.0261194,Punta-Quiapo via Sta. Mesa,168.0
"POINT (121.0247316 14.5944982)",14.5944982, 121.0247316,Punta-Quiapo via Sta. Mesa,168.0
"POINT (121.0226746 14.5952651)",14.5952651, 121.0226746,Punta-Quiapo via Sta. Mesa,168.0
"POINT (121.0220589 14.5955212)",14.5955212, 121.0220589,Punta-Quiapo via Sta. Mesa,168.0
"POINT (121.0206358 14.5960945)",14.5960945, 121.0206358,Punta-Quiapo via Sta. Mesa,168.0
"POINT (121.0183441 14.5970462)",14.5970462, 121.0183441,Punta-Quiapo via Sta. Mesa,168.0
"POINT (121.0177123 14.597528)",14.597528, 121.0177123,Punta-Quiapo via Sta. Mesa,168.0
"POINT (121.0175633 14.5978277)",14.5978277, 121.0175633,Punta-Quiapo via Sta. Mesa,168.0
"POINT (121.0168614 14.5999713)",14.5999713, 121.0168614,Punta-Quiapo via Sta. Mesa,168.0
"POINT (121.0153925 14.6027849)",14.6027849, 121.0153925,Punta-Quiapo via Sta. Mesa,168.0
"POINT (121.0101995 14.6022668)",14.6022668, 121.0101995,Punta-Quiapo via Sta. Mesa,168.0
"POINT (121.0055198 14.6018292)",14.6018292, 121.0055198,Punta-Quiapo via Sta. Mesa,168.0
"POINT (121.0042356 14.6016992)",14.6016992, 121.0042356,Punta-Quiapo via Sta. Mesa,168.0
"POINT (121.0034 14.6016081)",14.6016081, 121.0034,Punta-Quiapo via Sta. Mesa,168.0
"POINT (120.9950986 14.6008843)",14.6008843, 120.9950986,Punta-Quiapo via Sta. Mesa,168.0
"POINT (120.9931648 14.6014441)",14.6014441, 120.9931648,Punta-Quiapo via Sta. Mesa,168.0
"POINT (120.9910463 14.600524)",14.600524, 120.9910463,Punta-Quiapo via Sta. Mesa,168.0
"POINT (120.990777 14.6002518)",14.6002518, 120.990777,Punta-Quiapo via Sta. Mesa,168.0
"POINT (120.9897326 14.5981098)",14.5981098, 120.9897326,Punta-Quiapo via Sta. Mesa,168.0
"POINT (120.9876375 14.5967951)",14.5967951, 120.9876375,Punta-Quiapo via Sta. Mesa,168.0
"POINT (120.9866725 14.5969534)",14.5969534, 120.9866725,Punta-Quiapo via Sta. Mesa,168.0
"POINT (120.9850337 14.5972188)",14.5972188, 120.9850337,Punta-Quiapo via Sta. Mesa,168.0
"POINT (120.9843488 14.5973471)",14.5973471, 120.9843488,Punta-Quiapo via Sta. Mesa,168.0
"POINT (120.9880948 14.556928)",14.556928, 120.9880948,PITx-Lawton,169.0
"POINT (120.9851679 14.5640929)",14.5640929, 120.9851679,PITx-Lawton,169.0
"POINT (120.9866842 14.5653681)",14.5653681, 120.9866842,PITx-Lawton,169.0
"POINT (120.9853183 14.5686271)",14.5686271, 120.9853183,PITx-Lawton,169.0
"POINT (120.9847962 14.5698959)",14.5698959, 120.9847962,PITx-Lawton,169.0
"POINT (120.9840185 14.5717792)",14.5717792, 120.9840185,PITx-Lawton,169.0
"POINT (120.9829934 14.5740817)",14.5740817, 120.9829934,PITx-Lawton,169.0
"POINT (120.9822775 14.5753346)",14.5753346, 120.9822775,PITx-Lawton,169.0
"POINT (120.9812994 14.5775159)",14.5775159, 120.9812994,PITx-Lawton,169.0
"POINT (120.9803183 14.5798449)",14.5798449, 120.9803183,PITx-Lawton,169.0
"POINT (120.9797716 14.581002)",14.581002, 120.9797716,PITx-Lawton,169.0
"POINT (120.9832967 14.5830253)",14.5830253, 120.9832967,PITx-Lawton,169.0
"POINT (120.9809472 14.5898798)",14.5898798, 120.9809472,PITx-Lawton,169.0
"POINT (120.9790609 14.5952126)",14.5952126, 120.9790609,PITx-Lawton,169.0
"POINT (120.9803261 14.6009625)",14.6009625, 120.9803261,A. Rivera-Raon via Severino Reyes,170.0
"POINT (120.9794511 14.6053513)",14.6053513, 120.9794511,A. Rivera-Raon via Severino Reyes,170.0
"POINT (120.9804341 14.6067249)",14.6067249, 120.9804341,A. Rivera-Raon via Severino Reyes,170.0
"POINT (120.98052 14.6079281)",14.6079281, 120.98052,A. Rivera-Raon via Severino Reyes,170.0
"POINT (120.9805923 14.6089233)",14.6089233, 120.9805923,A. Rivera-Raon via Severino Reyes,170.0
"POINT (120.9807621 14.611079)",14.611079, 120.9807621,A. Rivera-Raon via Severino Reyes,170.0
"POINT (120.9799979 14.6132642)",14.6132642, 120.9799979,A. Rivera-Raon via Severino Reyes,170.0
"POINT (120.9786892 14.6133497)",14.6133497, 120.9786892,A. Rivera-Raon via Severino Reyes,170.0
"POINT (120.976776 14.613837)",14.613837, 120.976776,A. Rivera-Raon via Severino Reyes,170.0
"POINT (120.9752564 14.6142726)",14.6142726, 120.9752564,A. Rivera-Raon via Severino Reyes,170.0
"POINT (121.0085011 14.6122218)",14.6122218, 121.0085011,Balic-Balic-Bustillos via G. Tuazon,171.0
