WKT,Coordinates,Route Name,Route Number,,
POINT (121.0674572360515 14.538644321008745),14.53864432,121.0674572,Guadalupe (ABC)-Taguig via Tipas,139,
POINT (121.06742755790276 14.538952572453042),14.53895257,121.0674276,Guadalupe (ABC)-Taguig via Tipas,139,
POINT (121.06721666154796 14.540811478374506),14.54081148,121.0672167,Guadalupe (ABC)-Taguig via Tipas,139,
POINT (121.06692322705662 14.541819366508145),14.54181937,121.0669232,Guadalupe (ABC)-Taguig via Tipas,139,
POINT (121.06712707493215 14.54277220048029),14.5427722,121.0671271,Guadalupe (ABC)-Taguig via Tipas,139,
POINT (121.06464465761833 14.54620864777756),14.54620865,121.0646447,Guadalupe (ABC)-Taguig via Tipas,139,
POINT (121.06372586812965 14.54958401476316),14.54958401,121.0637259,Guadalupe (ABC)-Taguig via Tipas,139,
POINT (121.06343887177974 14.551040473755668),14.55104047,121.0634389,Guadalupe (ABC)-Taguig via Tipas,139,
POINT (121.06335304108295 14.552655288733552),14.55265529,121.063353,Guadalupe (ABC)-Taguig via Tipas,139,
POINT (121.06402895774576 14.554122112032111),14.55412211,121.064029,Guadalupe (ABC)-Taguig via Tipas,139,
POINT (121.06434814060545 14.554724415404678),14.55472442,121.0643481,Guadalupe (ABC)-Taguig via Tipas,139,
POINT (121.06489437701221 14.555710097015918),14.5557101,121.0648944,Guadalupe (ABC)-Taguig via Tipas,139,
POINT (121.0660802514222 14.557779676212025),14.55777968,121.0660803,Guadalupe (ABC)-Taguig via Tipas,139,
POINT (121.06583617040741 14.559269830146686),14.55926983,121.0658362,Guadalupe (ABC)-Taguig via Tipas,139,
POINT (121.06465331624 14.560077209001077),14.56007721,121.0646533,Guadalupe (ABC)-Taguig via Tipas,139,
POINT (121.06302253315746 14.56042248586876),14.56042249,121.0630225,Guadalupe (ABC)-Taguig via Tipas,139,
POINT (121.06169077321636 14.561568412510884),14.56156841,121.0616908,Guadalupe (ABC)-Taguig via Tipas,139,
