WKT,Coordinates,Route Name,Route Number,
POINT (121.04410332853168 14.573861234962239),14.573861234962200,121.04410332853200,Boni(Robinsons Complex)-Kalentong/JRC,128.0
POINT (121.0409798 14.5759143),14.5759143,121.0409798,Boni(Robinsons Complex)-Kalentong/JRC,128.0
POINT (121.0385674 14.5764041),14.5764041,121.0385674,Boni(Robinsons Complex)-Kalentong/JRC,128.0
POINT (121.0350413 14.5764321),14.5764321,121.0350413,Boni(Robinsons Complex)-Kalentong/JRC,128.0
POINT (121.0328898 14.5783736),14.5783736,121.0328898,Boni(Robinsons Complex)-Kalentong/JRC,128.0
POINT (121.0295749 14.5812271),14.5812271,121.0295749,Boni(Robinsons Complex)-Kalentong/JRC,128.0
POINT (121.027931 14.5838163),14.5838163,121.027931,Boni(Robinsons Complex)-Kalentong/JRC,128.0
POINT (121.0260623 14.5858082),14.5858082,121.0260623,Boni(Robinsons Complex)-Kalentong/JRC,128.0
POINT (121.0244278 14.5879788),14.5879788,121.0244278,Boni(Robinsons Complex)-Kalentong/JRC,128.0
POINT (121.0230945 14.5896077),14.5896077,121.0230945,Boni(Robinsons Complex)-Kalentong/JRC,128.0
POINT (121.04753632304073 14.574075465842425),14.574075465842400,121.04753632304100,Boni-Kalentong/JRC via Boni Ave,129.0
POINT (121.0441032 14.5738583),14.5738583,121.0441032,Boni-Kalentong/JRC via Boni Ave,129.0
POINT (121.04098 14.5759174),14.5759174,121.04098,Boni-Kalentong/JRC via Boni Ave,129.0
POINT (121.0385708 14.5764058),14.5764058,121.0385708,Boni-Kalentong/JRC via Boni Ave,129.0
POINT (121.0350409 14.5764316),14.5764316,121.0350409,Boni-Kalentong/JRC via Boni Ave,129.0
POINT (121.0328888 14.5783737),14.5783737,121.0328888,Boni-Kalentong/JRC via Boni Ave,129.0
POINT (121.0295732 14.5812277),14.5812277,121.0295732,Boni-Kalentong/JRC via Boni Ave,129.0
POINT (121.0279305 14.5838153),14.5838153,121.0279305,Boni-Kalentong/JRC via Boni Ave,129.0
POINT (121.0260613 14.5858048),14.5858048,121.0260613,Boni-Kalentong/JRC via Boni Ave,129.0
POINT (121.0230945 14.5896077),14.5896077,121.0230945,Boni-Kalentong/JRC via Boni Ave,129.0
POINT (121.02612292121135 14.592195520174474),14.592195520174500,121.02612292121100,Kalentong/JRC-Libertad (Mandaluyong) Nueve de Pebrero,130.0
POINT (121.02713858977019 14.593651552411643),14.593651552411600,121.02713858977000,Kalentong/JRC-Libertad (Mandaluyong) Nueve de Pebrero,130.0
POINT (121.03079567859528 14.591860990571972),14.591860990572000,121.03079567859500,Kalentong/JRC-Libertad (Mandaluyong) Nueve de Pebrero,130.0
POINT (121.03402198423579 14.590394453696),14.590394453696,121.03402198423600,Kalentong/JRC-Libertad (Mandaluyong) Nueve de Pebrero,130.0
POINT (121.03529432643924 14.587336517307838),14.587336517307800,121.03529432643900,Kalentong/JRC-Libertad (Mandaluyong) Nueve de Pebrero,130.0
POINT (121.03768375431373 14.587526076847452),14.587526076847500,121.03768375431400,Kalentong/JRC-Libertad (Mandaluyong) Nueve de Pebrero,130.0
POINT (121.038936 14.5876816),14.5876816,121.038936,Kalentong/JRC-Libertad (Mandaluyong) Nueve de Pebrero,130.0
POINT (121.0414991 14.5864006),14.5864006,121.0414991,Kalentong/JRC-Libertad (Mandaluyong) Nueve de Pebrero,130.0
POINT (121.0431014 14.5866635),14.5866635,121.0431014,Kalentong/JRC-Libertad (Mandaluyong) Nueve de Pebrero,130.0
POINT (121.0448566 14.5844389),14.5844389,121.0448566,Kalentong/JRC-Libertad (Mandaluyong) Nueve de Pebrero,130.0
POINT (121.044357 14.5818608),14.5818608,121.044357,Kalentong/JRC-Libertad (Mandaluyong) Nueve de Pebrero,130.0
POINT (121.0442819 14.579586),14.579586,121.0442819,Kalentong/JRC-Libertad (Mandaluyong) Nueve de Pebrero,130.0
POINT (121.0479417 14.5793097),14.5793097,121.0479417,Kalentong/JRC-Libertad (Mandaluyong) Nueve de Pebrero,130.0
POINT (121.02794988451397 14.595248202685754),14.595248202685800,121.02794988451400,Kalentong/JRC-Namayan via Vergara,131.0
POINT (121.0261244 14.5921952),14.5921952,121.0261244,Kalentong/JRC-Namayan via Vergara,131.0
POINT (121.0234368 14.5898595),14.5898595,121.0234368,Kalentong/JRC-Namayan via Vergara,131.0
POINT (121.0230968 14.5896103),14.5896103,121.0230968,Kalentong/JRC-Namayan via Vergara,131.0
POINT (121.0226804 14.5892572),14.5892572,121.0226804,Kalentong/JRC-Namayan via Vergara,131.0
POINT (121.0209134 14.5874796),14.5874796,121.0209134,Kalentong/JRC-Namayan via Vergara,131.0
POINT (121.0215592 14.5863498),14.5863498,121.0215592,Kalentong/JRC-Namayan via Vergara,131.0
POINT (121.0225101 14.5868159),14.5868159,121.0225101,Kalentong/JRC-Namayan via Vergara,131.0
POINT (121.0258393 14.5860709),14.5860709,121.0258393,Kalentong/JRC-Namayan via Vergara,131.0
POINT (121.0254382 14.5845375),14.5845375,121.0254382,Kalentong/JRC-Namayan via Vergara,131.0
POINT (121.025121 14.5819762),14.5819762,121.025121,Kalentong/JRC-Namayan via Vergara,131.0
POINT (121.0225689 14.5774045),14.5774045,121.0225689,Kalentong/JRC-Namayan via Vergara,131.0
POINT (121.0208602 14.5805547),14.5805547,121.0208602,Kalentong/JRC-Namayan via Vergara,131.0
POINT (121.0211593 14.584628),14.584628,121.0211593,Kalentong/JRC-Namayan via Vergara,131.0
POINT (121.0226744 14.5892503),14.5892503,121.0226744,Pier South - Sta Ana via P. Faura,132.0
