WKT,Coordinates,Route Name,Route Number,,,
POINT (120.9803261 14.6009625),14.6009625,120.9803261,A. Rivera-Raon via Severino Reyes,170,,
POINT (120.9794511 14.6053513),14.6053513,120.9794511,A. Rivera-Raon via Severino Reyes,170,,
POINT (120.9804341 14.6067249),14.6067249,120.9804341,A. Rivera-Raon via Severino Reyes,170,,
POINT (120.98052 14.6079281),14.6079281,120.98052,A. Rivera-Raon via Severino Reyes,170,,
POINT (120.9805923 14.6089233),14.6089233,120.9805923,A. Rivera-Raon via Severino Reyes,170,,
POINT (120.9807621 14.611079),14.611079,120.9807621,A. Rivera-Raon via Severino Reyes,170,,
POINT (120.9799979 14.6132642),14.6132642,120.9799979,A. Rivera-Raon via Severino Reyes,170,,
POINT (120.9786892 14.6133497),14.6133497,120.9786892,A. Rivera-Raon via Severino Reyes,170,,
POINT (120.976776 14.613837),14.613837,120.976776,A. Rivera-Raon via Severino Reyes,170,,
POINT (120.9752564 14.6142726),14.6142726,120.9752564,A. Rivera-Raon via Severino Reyes,170,,
POINT (121.0081249 14.6183189),14.6183189,121.0081249,Arroceros - Cubao via España,13,,
POINT (121.0050758 14.6180522),14.6180522,121.0050758,Arroceros - Cubao via España,13,,
POINT (121.0011639 14.6174569),14.6174569,121.0011639,Arroceros - Cubao via España,13,,
POINT (120.9994702 14.6159346),14.6159346,120.9994702,Arroceros - Cubao via España,13,,
POINT (120.9973846 14.6140278),14.6140278,120.9973846,Arroceros - Cubao via España,13,,
POINT (120.995364 14.6122118),14.6122118,120.995364,Arroceros - Cubao via España,13,,
POINT (120.9935589 14.6105604),14.6105604,120.9935589,Arroceros - Cubao via España,13,,
POINT (120.9925691 14.6096092),14.6096092,120.9925691,Arroceros - Cubao via España,13,,
POINT (120.9915961 14.6086442),14.6086442,120.9915961,Arroceros - Cubao via España,13,,
POINT (120.9896306 14.6068344),14.6068344,120.9896306,Arroceros - Cubao via España,13,,
POINT (120.9881847 14.6055835),14.6055835,120.9881847,Arroceros - Cubao via España,13,,
POINT (120.9845607 14.6011372),14.6011372,120.9845607,Arroceros - Cubao via España,13,,
POINT (120.9842536 14.5997108),14.5997108,120.9842536,Arroceros - Cubao via España,13,,
POINT (120.9850113 14.5972294),14.5972294,120.9850113,Arroceros - Cubao via España,13,,
POINT (120.98188729607794 14.591222389726374),14.59122239,120.9818873,Arroceros - Project 2 & 3 via Timog, Quezon Ave.,55,
POINT (120.9801604 14.5930594),14.5930594,120.9801604,Arroceros - Project 2 & 3 via Timog, Quezon Ave.,55,
POINT (120.9843716 14.5995154),14.5995154,120.9843716,Arroceros - Project 2 & 3 via Timog, Quezon Ave.,55,
POINT (120.9874093 14.6051551),14.6051551,120.9874093,Arroceros - Project 2 & 3 via Timog, Quezon Ave.,55,
POINT (120.9896698 14.6067502),14.6067502,120.9896698,Arroceros - Project 2 & 3 via Timog, Quezon Ave.,55,
POINT (120.9916409 14.6085031),14.6085031,120.9916409,Arroceros - Project 2 & 3 via Timog, Quezon Ave.,55,
POINT (120.9935431 14.6103877),14.6103877,120.9935431,Arroceros - Project 2 & 3 via Timog, Quezon Ave.,55,
POINT (120.9954027 14.6120805),14.6120805,120.9954027,Arroceros - Project 2 & 3 via Timog, Quezon Ave.,55,
POINT (120.9974955 14.6139784),14.6139784,120.9974955,Arroceros - Project 2 & 3 via Timog, Quezon Ave.,55,
POINT (120.9996473 14.6159279),14.6159279,120.9996473,Arroceros - Project 2 & 3 via Timog, Quezon Ave.,55,
POINT (121.0013706 14.6174795),14.6174795,121.0013706,Arroceros - Project 2 & 3 via Timog, Quezon Ave.,55,
POINT (120.9889913 14.6191116),14.6191116,120.9889913,Arroceros-Blumentritt via Dimasalang,30,,
POINT (120.9889008 14.6183882),14.6183882,120.9889008,Arroceros-Blumentritt via Dimasalang,30,,
POINT (120.9888652 14.6175382),14.6175382,120.9888652,Arroceros-Blumentritt via Dimasalang,30,,
POINT (120.9888481 14.6170682),14.6170682,120.9888481,Arroceros-Blumentritt via Dimasalang,30,,
POINT (120.9870682 14.6125533),14.6125533,120.9870682,Arroceros-Blumentritt via Dimasalang,30,,
POINT (120.9862126 14.6115638),14.6115638,120.9862126,Arroceros-Blumentritt via Dimasalang,30,,
POINT (120.9860629 14.6092327),14.6092327,120.9860629,Arroceros-Blumentritt via Dimasalang,30,,
POINT (120.9857804 14.607088),14.607088,120.9857804,Arroceros-Blumentritt via Dimasalang,30,,
POINT (120.9846016 14.6013142),14.6013142,120.9846016,Arroceros-Blumentritt via Dimasalang,30,,
POINT (120.9842458 14.5996235),14.5996235,120.9842458,Arroceros-Blumentritt via Dimasalang,30,,
