WKT,Coordinates,Route Name,Route Number,,,
POINT (120.97075 14.60494),14.60494,120.97075,Divisoria-TM Kalaw via Jones Bridge,35,,
POINT (120.97273 14.60532),14.60532,120.97273,Divisoria-TM Kalaw via Jones Bridge,35,,
POINT (120.97426 14.60476),14.60476,120.97426,Divisoria-TM Kalaw via Jones Bridge,35,,
POINT (120.97345 14.60085),14.60085,120.97345,Divisoria-TM Kalaw via Jones Bridge,35,,
POINT (120.97432 14.59904),14.59904,120.97432,Divisoria-TM Kalaw via Jones Bridge,35,,
POINT (120.9753 14.59736),14.59736,120.9753,Divisoria-TM Kalaw via Jones Bridge,35,,
POINT (120.97841 14.59403),14.59403,120.97841,Divisoria-TM Kalaw via Jones Bridge,35,,
POINT (120.9807 14.58981),14.58981,120.9807,Divisoria-TM Kalaw via Jones Bridge,35,,
POINT (120.98036 14.58333),14.58333,120.98036,Divisoria-TM Kalaw via Jones Bridge,35,,
POINT (120.98206 14.58235),14.58235,120.98206,Divisoria-TM Kalaw via Jones Bridge,35,,
POINT (120.98199 14.58229),14.58229,120.98199,Project 4-TM Kalaw via Cubao, E Rodriguez,36,
POINT (120.98301 14.58287),14.58287,120.98301,Project 4-TM Kalaw via Cubao, E Rodriguez,36,
POINT (120.98377 14.58341),14.58341,120.98377,Project 4-TM Kalaw via Cubao, E Rodriguez,36,
POINT (120.98072 14.59066),14.59066,120.98072,Project 4-TM Kalaw via Cubao, E Rodriguez,36,
POINT (120.98016 14.59301),14.59301,120.98016,Project 4-TM Kalaw via Cubao, E Rodriguez,36,
POINT (120.98436 14.59948),14.59948,120.98436,Project 4-TM Kalaw via Cubao, E Rodriguez,36,
POINT (120.98503 14.60233),14.60233,120.98503,Project 4-TM Kalaw via Cubao, E Rodriguez,36,
POINT (120.98739 14.60514),14.60514,120.98739,Project 4-TM Kalaw via Cubao, E Rodriguez,36,
POINT (120.98971 14.6068),14.6068,120.98971,Project 4-TM Kalaw via Cubao, E Rodriguez,36,
POINT (120.99158 14.60851),14.60851,120.99158,Project 4-TM Kalaw via Cubao, E Rodriguez,36,
POINT (120.99273 14.60956),14.60956,120.99273,Project 4-TM Kalaw via Cubao, E Rodriguez,36,
POINT (120.99364 14.61038),14.61038,120.99364,Project 4-TM Kalaw via Cubao, E Rodriguez,36,
POINT (120.99548 14.61203),14.61203,120.99548,Project 4-TM Kalaw via Cubao, E Rodriguez,36,
POINT (120.99769 14.61404),14.61404,120.99769,Project 4-TM Kalaw via Cubao, E Rodriguez,36,
POINT (120.99973 14.61588),14.61588,120.99973,Project 4-TM Kalaw via Cubao, E Rodriguez,36,
POINT (121.00147 14.61742),14.61742,121.00147,Project 4-TM Kalaw via Cubao, E Rodriguez,36,
POINT (121.00506 14.61806),14.61806,121.00506,Project 4-TM Kalaw via Cubao, E Rodriguez,36,
POINT (121.00806 14.61831),14.61831,121.00806,Project 4-TM Kalaw via Cubao, E Rodriguez,36,
POINT (120.98266 14.61633),14.61633,120.98266,Pier South 15-Retiro,37,,
POINT (120.98257 14.61405),14.61405,120.98257,Pier South 15-Retiro,37,,
POINT (120.98243 14.61136),14.61136,120.98243,Pier South 15-Retiro,37,,
POINT (120.98231 14.61005),14.61005,120.98231,Pier South 15-Retiro,37,,
POINT (120.98196 14.60536),14.60536,120.98196,Pier South 15-Retiro,37,,
POINT (120.9819 14.6041),14.6041,120.9819,Pier South 15-Retiro,37,,
POINT (120.98163 14.60122),14.60122,120.98163,Pier South 15-Retiro,37,,
POINT (120.98144 14.60052),14.60052,120.98144,Pier South 15-Retiro,37,,
POINT (120.98051 14.60019),14.60019,120.98051,Pier South 15-Retiro,37,,
POINT (120.97993 14.59939),14.59939,120.97993,Pier South 15-Retiro,37,,
POINT (120.97407 14.59362),14.59362,120.97407,Pier South 15-Retiro,37,,
POINT (120.97244 14.59219),14.59219,120.97244,Pier South 15-Retiro,37,,
POINT (120.9716 14.59149),14.59149,120.9716,Pier South 15-Retiro,37,,
POINT (120.97154 14.58957),14.58957,120.97154,Pier South 15-Retiro,37,,
