WKT,Coordinates,Route Name,Route Number
"POINT (120.9989136 14.6233198)",14.6233198, 120.9989136,Dapitan - Delos Reyes / P. Campa via Andalucia/Laong Laan,52.0
"POINT (120.9883096 14.6056067)",14.6056067, 120.9883096,Dapitan - Delos Reyes / P. Campa via Andalucia/Laong Laan,52.0
"POINT (120.988308 14.5622447)",14.5622447, 120.988308,Kamuning - Vito Cruz via E. Rodriguez A. Mabini,53.0
"POINT (120.9866983 14.5653438)",14.5653438, 120.9866983,Kamuning - Vito Cruz via E. Rodriguez A. Mabini,53.0
"POINT (120.9859804 14.5670103)",14.5670103, 120.9859804,Kamuning - Vito Cruz via E. Rodriguez A. Mabini,53.0
"POINT (120.9853544 14.5685506)",14.5685506, 120.9853544,Kamuning - Vito Cruz via E. Rodriguez A. Mabini,53.0
"POINT (120.9847633 14.5699765)",14.5699765, 120.9847633,Kamuning - Vito Cruz via E. Rodriguez A. Mabini,53.0
"POINT (120.9840401 14.5717345)",14.5717345, 120.9840401,Kamuning - Vito Cruz via E. Rodriguez A. Mabini,53.0
"POINT (120.9830233 14.5740327)",14.5740327, 120.9830233,Kamuning - Vito Cruz via E. Rodriguez A. Mabini,53.0
"POINT (120.9822109 14.5754648)",14.5754648, 120.9822109,Kamuning - Vito Cruz via E. Rodriguez A. Mabini,53.0
"POINT (120.9812866 14.5775502)",14.5775502, 120.9812866,Kamuning - Vito Cruz via E. Rodriguez A. Mabini,53.0
"POINT (120.980303 14.5798874)",14.5798874, 120.980303,Kamuning - Vito Cruz via E. Rodriguez A. Mabini,53.0
"POINT (120.9804851 14.5833582)",14.5833582, 120.9804851,Kamuning - Vito Cruz via E. Rodriguez A. Mabini,53.0
"POINT (120.9807265 14.5871288)",14.5871288, 120.9807265,Kamuning - Vito Cruz via E. Rodriguez A. Mabini,53.0
"POINT (120.9806767 14.5908031)",14.5908031, 120.9806767,Kamuning - Vito Cruz via E. Rodriguez A. Mabini,53.0
"POINT (120.9801599 14.5930657)",14.5930657, 120.9801599,Kamuning - Vito Cruz via E. Rodriguez A. Mabini,53.0
"POINT (120.9843674 14.5995037)",14.5995037, 120.9843674,Kamuning - Vito Cruz via E. Rodriguez A. Mabini,53.0
"POINT (120.9874119 14.6051615)",14.6051615, 120.9874119,Kamuning - Vito Cruz via E. Rodriguez A. Mabini,53.0
"POINT (120.9896596 14.6067319)",14.6067319, 120.9896596,Kamuning - Vito Cruz via E. Rodriguez A. Mabini,53.0
"POINT (120.9916077 14.6084769)",14.6084769, 120.9916077,Kamuning - Vito Cruz via E. Rodriguez A. Mabini,53.0
"POINT (120.9926779 14.6095228)",14.6095228, 120.9926779,Kamuning - Vito Cruz via E. Rodriguez A. Mabini,53.0
"POINT (120.9954031 14.6120808)",14.6120808, 120.9954031,Kamuning - Vito Cruz via E. Rodriguez A. Mabini,53.0
"POINT (120.9974855 14.6139673)",14.6139673, 120.9974855,Kamuning - Vito Cruz via E. Rodriguez A. Mabini,53.0
"POINT (120.9996534 14.6159353)",14.6159353, 120.9996534,Kamuning - Vito Cruz via E. Rodriguez A. Mabini,53.0
"POINT (121.0013803 14.6174956)",14.6174956, 121.0013803,Kamuning - Vito Cruz via E. Rodriguez A. Mabini,53.0
"POINT (121.0050607 14.6180421)",14.6180421, 121.0050607,Kamuning - Vito Cruz via E. Rodriguez A. Mabini,53.0
"POINT (121.0080331 14.6183089)",14.6183089, 121.0080331,Kamuning - Vito Cruz via E. Rodriguez A. Mabini,53.0
"POINT (121.0099367 14.618467)",14.618467, 121.0099367,Kamuning - Vito Cruz via E. Rodriguez A. Mabini,53.0
"POINT (121.0036132 14.5737666)",14.5737666, 121.0036132,San Andres-P. Faura,54.0
"POINT (120.9998655 14.5726927)",14.5726927, 120.9998655,San Andres-P. Faura,54.0
"POINT (120.9931857 14.5756429)",14.5756429, 120.9931857,San Andres-P. Faura,54.0
