WKT,Longitude,Latitude,Route Name,Route Number
POINT (120.969666186041 14.6063954665008),120.9696662,14.60639547,Divisoria-Gasak,1
POINT (120.969322002237 14.6080282129403),120.969322,14.60802821,Divisoria-Gasak,1
POINT (120.969188653924 14.6098368200121),120.9691887,14.60983682,Divisoria-Gasak,1
POINT (120.969578272086 14.6119305454047),120.9695783,14.61193055,Divisoria-Gasak,1
POINT (120.970653683471 14.6173276282816),120.9706537,14.61732763,Divisoria-Gasak,1
POINT (120.971697287367 14.6204015588223),120.9716973,14.62040156,Divisoria-Gasak,1
POINT (120.97216438141 14.6219421278853),120.9721644,14.62194213,Divisoria-Gasak,1
POINT (120.971826972709 14.6222612848703),120.971827,14.62226128,Divisoria-Gasak,1
POINT (120.969942512234 14.6232011920913),120.9699425,14.62320119,Divisoria-Gasak,1
POINT (120.967766125178 14.6242743917469),120.9677661,14.62427439,Divisoria-Gasak,1
POINT (120.965852735429 14.6271839135687),120.9658527,14.62718391,Divisoria-Gasak,1
POINT (120.964684034669 14.6297517882222),120.964684,14.62975179,Divisoria-Gasak,1
POINT (120.963574429474 14.6321563417604),120.9635744,14.63215634,Divisoria-Gasak,1
POINT (120.959984800278 14.6374639723436),120.9599848,14.63746397,Divisoria-Gasak,1
POINT (120.956210771097 14.6412984282225),120.9562108,14.64129843,Divisoria-Gasak,1
POINT (120.954869548041 14.6431963218535),120.9548695,14.64319632,Divisoria-Gasak,1
POINT (120.9531974303 14.6454016849968),120.9531974,14.64540168,Divisoria-Gasak,1
POINT (120.951132212762 14.6489456835118),120.9511322,14.64894568,Divisoria-Gasak,1
POINT (120.950479150031 14.6512466602385),120.9504792,14.65124666,Divisoria-Gasak,1
POINT (120.949976269306 14.6522692796579),120.9499763,14.65226928,Divisoria-Gasak,1
POINT (120.949465699087 14.6520958864731),120.9494657,14.65209589,Divisoria-Gasak,1
POINT (120.948912545268 14.6548995721672),120.9489125,14.65489957,Divisoria-Gasak,1
POINT (120.950619099247 14.6557511815322),120.9506191,14.65575118,Divisoria-Gasak,1
POINT (120.952288234216 14.6585536624305),120.9522882,14.65855366,Divisoria-Gasak,1
POINT (120.951962183915 14.6595591402408),120.9519622,14.65955914,Divisoria-Gasak,1
POINT (120.951257293396 14.6607475752771),120.9512573,14.66074758,Divisoria-Gasak,1
POINT (120.949709747354 14.663692965679),120.9497097,14.66369297,Divisoria-Gasak,1
POINT (120.947582348551 14.6679531640064),120.9475823,14.66795316,Divisoria-Gasak,1
POINT (120.946871830641 14.6693708912161),120.9468718,14.66937089,Divisoria-Gasak,1
POINT (120.946534834432 14.6699696225738),120.9465348,14.66996962,Divisoria-Gasak,1
POINT (120.945783714704 14.6715204239808),120.9457837,14.67152042,Divisoria-Gasak,1
POINT (120.944893107585 14.6740357142956),120.9448931,14.67403571,Divisoria-Gasak,1
POINT (121.052593535296 14.622748310451),121.0525935,14.62274831,Cubao-Divisoria,2
POINT (121.050692997282 14.6218955587554),121.050693,14.62189556,Cubao-Divisoria,2
POINT (121.049820172114 14.6215046664083),121.0498202,14.62150467,Cubao-Divisoria,2
POINT (121.046580553289 14.6202550963169),121.0465806,14.6202551,Cubao-Divisoria,2
POINT (121.042636360338 14.6186170132128),121.0426364,14.61861701,Cubao-Divisoria,2
POINT (121.039853556868 14.6169286765902),121.0398536,14.61692868,Cubao-Divisoria,2
POINT (121.036997421362 14.6152323679111),121.0369974,14.61523237,Cubao-Divisoria,2
POINT (121.035068175662 14.6141890728844),121.0350682,14.61418907,Cubao-Divisoria,2
POINT (121.034164794987 14.6136277587621),121.0341648,14.61362776,Cubao-Divisoria,2
POINT (121.032246042529 14.6126573521544),121.032246,14.61265735,Cubao-Divisoria,2
POINT (121.03065543322 14.6122292143284),121.0306554,14.61222921,Cubao-Divisoria,2
POINT (121.027565574855 14.6110994112635),121.0275656,14.61109941,Cubao-Divisoria,2
POINT (121.025953535226 14.6105458055155),121.0259535,14.61054581,Cubao-Divisoria,2
POINT (121.024619120482 14.6101252359111),121.0246191,14.61012524,Cubao-Divisoria,2
POINT (121.022396019593 14.6092764601078),121.022396,14.60927646,Cubao-Divisoria,2
POINT (121.021257164189 14.6082710148973),121.0212572,14.60827101,Cubao-Divisoria,2
POINT (121.020055834478 14.6071264892926),121.0200558,14.60712649,Cubao-Divisoria,2
POINT (121.019407764833 14.6066247906287),121.0194078,14.60662479,Cubao-Divisoria,2
POINT (121.018868830076 14.6059590053168),121.0188688,14.60595901,Cubao-Divisoria,2
POINT (121.017522209858 14.6046125499391),121.0175222,14.60461255,Cubao-Divisoria,2
POINT (121.015261036048 14.602778378564),121.015261,14.60277838,Cubao-Divisoria,2
POINT (121.009740666275 14.6022304130489),121.0097407,14.60223041,Cubao-Divisoria,2
POINT (121.005586892233 14.6018499556005),121.0055869,14.60184996,Cubao-Divisoria,2
POINT (121.004064948879 14.6017130555173),121.0040649,14.60171306,Cubao-Divisoria,2
POINT (121.003475836204 14.601648954506),121.0034758,14.60164895,Cubao-Divisoria,2
POINT (120.994965945145 14.6009683728154),120.9949659,14.60096837,Cubao-Divisoria,2
POINT (120.993091423985 14.6015010998063),120.9930914,14.6015011,Cubao-Divisoria,2
POINT (120.991119673144 14.6006200404917),120.9911197,14.60062004,Cubao-Divisoria,2
POINT (120.990742491057 14.600625613034),120.9907425,14.60062561,Cubao-Divisoria,2
POINT (120.986892497443 14.6023915948553),120.9868925,14.60239159,Cubao-Divisoria,2
POINT (120.984181462597 14.6035067319847),120.9841815,14.60350673,Cubao-Divisoria,2
POINT (120.982975312618 14.6036977887701),120.9829753,14.60369779,Cubao-Divisoria,2
POINT (120.979502417829 14.6043614837911),120.9795024,14.60436148,Cubao-Divisoria,2
POINT (120.977752753365 14.6050244231106),120.9777528,14.60502442,Cubao-Divisoria,2
POINT (120.976805768441 14.6054132852038),120.9768058,14.60541329,Cubao-Divisoria,2
POINT (120.975298986458 14.6059951900528),120.975299,14.60599519,Cubao-Divisoria,2
POINT (120.974429913263 14.6063150815141),120.9744299,14.60631508,Cubao-Divisoria,2
POINT (120.972963191024 14.6065212419248),120.9729632,14.60652124,Cubao-Divisoria,2
